"customer","product","state","average","other_cust_avg","other_prod_avg"
"Helen","Eggs","NY","3200.000","2636.833","2323.893"
"Helen","Eggs","PA","1558.333","2444.600","2284.688"
"Helen","Fruits","CT","1760.167","2784.667","2391.286"
"Helen","Fruits","NJ","415.000","2791.000","2423.828"
"Helen","Fruits","NY","2774.000","2238.357","2339.107"
"Helen","Fruits","PA","2811.000","2486.000","2134.389"
"Helen","Milk","CT","1962.667","1866.500","2310.613"
"Helen","Milk","NJ","1839.000","2980.167","2374.724"
"Helen","Milk","NY","1589.400","2636.889","2513.417"
"Helen","Milk","PA","3188.333","1865.636","1979.063"
"Helen","Pepsi","CT","2630.667","2483.750","2245.968"
"Helen","Pepsi","NJ","3267.000","2630.867","2174.840"
"Helen","Pepsi","NY","2507.667","3407.556","2336.385"
"Helen","Pepsi","PA","1431.500","2297.000","2256.882"
"Helen","Soap","CT","1752.000","2003.273","2312.906"
"Helen","Soap","NJ","2791.400","2113.222","2269.960"
"Helen","Soap","PA","2516.000","2048.200","2129.294"
"Helen","Yogurt","CT","3404.333","2263.429","2171.097"
"Helen","Yogurt","NJ","2096.000","2094.222","2365.862"
"Helen","Yogurt","NY","2048.000","2890.857","2417.875"
"Helen","Yogurt","PA","4001.000","2414.222","2068.278"
"Knuth","Bread","CT","2561.167","1830.000","1949.769"
"Knuth","Bread","NJ","1013.000","2168.000","2324.667"
"Knuth","Bread","NY","3370.000","2683.143","2459.350"
"Knuth","Bread","PA","3203.000","1411.571","2330.880"
"Knuth","Butter","CT","2232.000","1993.333","2059.000"
"Knuth","Butter","NY","648.333","2564.167","2811.778"
"Knuth","Butter","PA","1684.000","1710.750","2508.000"
"Knuth","Coke","CT","2113.750","2569.071","2057.357"
"Knuth","Coke","NJ","2340.333","2489.182","2239.750"
"Knuth","Coke","NY","1946.000","1826.625","2530.550"
"Knuth","Coke","PA","3605.400","3077.400","2210.708"
"Knuth","Cookies","CT","3350.667","2496.636","1931.345"
"Knuth","Cookies","NJ","3172.250","2370.750","2011.200"
"Knuth","Cookies","NY","1485.000","2796.750","2553.600"
"Knuth","Cookies","PA","927.500","2271.000","2564.037"
"Knuth","Eggs","CT","2432.500","2396.778","2011.821"
"Knuth","Eggs","NJ","1846.000","2889.500","2303.824"
"Knuth","Eggs","NY","4050.500","2431.000","2339.789"
"Knuth","Eggs","PA","1929.000","2296.636","2489.852"
"Knuth","Fruits","CT","1629.333","2561.250","2109.414"
"Knuth","Fruits","NJ","2013.333","2786.222","2301.063"
"Knuth","Fruits","NY","1251.750","2645.818","2797.059"
"Knuth","Fruits","PA","2484.000","2505.588","2445.920"
"Knuth","Milk","CT","58.000","2016.286","2129.129"
"Knuth","Milk","NY","2424.000","2250.385","2506.650"
"Knuth","Milk","PA","607.000","2406.083","2587.778"
"Knuth","Pepsi","CT","1784.500","2778.091","2104.393"
"Knuth","Pepsi","NJ","2394.500","2888.750","2218.600"
"Knuth","Pepsi","NY","4252.333","2826.000","2211.111"
"Knuth","Pepsi","PA","2464.000","1884.000","2450.222"
"Knuth","Soap","CT","1568.000","2212.500","2156.333"
"Knuth","Soap","NJ","657.000","2486.077","2344.444"
"Knuth","Soap","NY","2790.667","2758.667","2454.722"
"Knuth","Soap","PA","1773.500","2196.700","2501.370"
"Knuth","Yogurt","CT","301.000","2861.778","2121.290"
"Knuth","Yogurt","NJ","2167.000","2086.333","2260.556"
"Knuth","Yogurt","NY","3575.000","2332.600","2389.842"
"Knuth","Yogurt","PA","2884.750","2365.000","2381.800"
"Sam","Bread","CT","903.000","2246.067","2139.889"
"Sam","Bread","NJ","2791.333","1915.917","2558.826"
"Sam","Bread","NY","2282.000","2838.571","2435.700"
"Sam","Bread","PA","482.500","2414.222","2605.957"
"Sam","Butter","NJ","3211.500","2020.500","2471.864"
"Sam","Butter","NY","2697.667","2051.833","2383.500"
"Sam","Butter","PA","673.000","1820.111","2509.542"
"Sam","Coke","CT","2745.500","2433.188","1935.167"
"Sam","Coke","NY","1405.000","1964.143","2536.105"
"Sam","Coke","PA","3053.000","3373.444","2410.375"
"Sam","Cookies","CT","1327.500","2905.000","2092.722"
"Sam","Cookies","NY","3376.000","2560.375","2381.000"
"Sam","Cookies","PA","1549.500","2295.875","2604.952"
"Sam","Eggs","NJ","1102.500","3075.375","2709.250"
"Sam","Eggs","NY","2174.667","2831.800","2470.667"
"Sam","Eggs","PA","3416.000","1887.300","2302.455"
"Sam","Fruits","CT","3100.500","2263.231","1895.722"
"Sam","Fruits","NJ","3282.333","2363.222","2494.783"
"Sam","Fruits","NY","3573.500","2074.154","2307.842"
"Sam","Fruits","PA","3561.333","2324.833","2282.636"
"Sam","Milk","CT","1423.200","2117.000","2213.867"
"Sam","Milk","NJ","4522.000","2533.000","2508.200"
"Sam","Milk","NY","1600.750","2527.600","2623.118"
"Sam","Milk","PA","1849.333","2230.818","2516.091"
"Sam","Pepsi","CT","2375.750","2563.091","1926.313"
"Sam","Pepsi","NJ","3086.333","2662.857","2435.450"
"Sam","Pepsi","NY","3993.000","3020.500","2263.684"
"Sam","Pepsi","PA","2841.000","1917.833","2419.208"
"Sam","Soap","CT","2461.000","1923.250","1992.789"
"Sam","Soap","NJ","1348.250","2758.300","2810.636"
"Sam","Soap","NY","2529.000","2897.500","2417.789"
"Sam","Soap","PA","2825.750","1776.375","2361.857"
"Sam","Yogurt","CT","2545.500","2620.750","1957.389"
"Sam","Yogurt","NJ","1840.667","2203.143","2682.826"
"Sam","Yogurt","NY","1317.000","2650.818","2483.950"
"Sam","Yogurt","PA","3129.667","2334.286","2341.500"
