"customer","product","month","before_avg","during_avg","after_avg"
"Bloom","Milk",11,"2951.000",NULL,"3127.500"
"Bloom","Milk",12,NULL,"3127.500",NULL
"Bloom","Pepsi",1,NULL,"526.000",NULL
"Bloom","Pepsi",2,"526.000",NULL,NULL
"Bloom","Pepsi",3,NULL,NULL,NULL
"Bloom","Pepsi",4,NULL,NULL,"2367.000"
"Bloom","Pepsi",5,NULL,"2367.000","1368.000"
"Bloom","Pepsi",6,"2367.000","1368.000","94.000"
"Bloom","Pepsi",7,"1368.000","94.000","254.000"
"Bloom","Pepsi",8,"94.000","254.000","2034.000"
"Bloom","Pepsi",9,"254.000","2034.000",NULL
"Bloom","Pepsi",10,"2034.000",NULL,"4515.000"
"Bloom","Pepsi",11,NULL,"4515.000","4232.000"
"Bloom","Pepsi",12,"4515.000","4232.000",NULL
"Bloom","Soap",1,NULL,"4623.000",NULL
"Bloom","Soap",2,"4623.000",NULL,NULL
"Bloom","Soap",3,NULL,NULL,"1216.000"
"Bloom","Soap",4,NULL,"1216.000",NULL
"Bloom","Soap",5,"1216.000",NULL,"3404.000"
"Bloom","Soap",6,NULL,"3404.000","387.000"
"Bloom","Soap",7,"3404.000","387.000",NULL
"Bloom","Soap",8,"387.000",NULL,"270.000"
"Bloom","Soap",9,NULL,"270.000",NULL
"Bloom","Soap",10,"270.000",NULL,"4364.000"
"Bloom","Soap",11,NULL,"4364.000",NULL
"Bloom","Soap",12,"4364.000",NULL,NULL
"Bloom","Yogurt",1,NULL,NULL,NULL
"Bloom","Yogurt",2,NULL,NULL,"1660.000"
"Bloom","Yogurt",3,NULL,"1660.000","2623.000"
"Bloom","Yogurt",4,"1660.000","2623.000",NULL
"Bloom","Yogurt",5,"2623.000",NULL,NULL
"Bloom","Yogurt",6,NULL,NULL,"17.000"
"Bloom","Yogurt",7,NULL,"17.000",NULL
"Bloom","Yogurt",8,"17.000",NULL,"3588.000"
"Bloom","Yogurt",9,NULL,"3588.000","2788.000"
"Bloom","Yogurt",10,"3588.000","2788.000",NULL
"Bloom","Yogurt",11,"2788.000",NULL,"783.000"
"Bloom","Yogurt",12,NULL,"783.000",NULL
"Emily","Bread",1,NULL,NULL,NULL
"Emily","Bread",2,NULL,NULL,"492.000"
"Emily","Bread",3,NULL,"492.000","3301.000"
"Emily","Bread",4,"492.000","3301.000","232.000"
"Emily","Bread",5,"3301.000","232.000","883.500"
"Emily","Bread",6,"232.000","883.500",NULL
"Emily","Bread",7,"883.500",NULL,NULL
"Emily","Bread",8,NULL,NULL,"807.000"
"Emily","Bread",9,NULL,"807.000",NULL
"Emily","Bread",10,"807.000",NULL,"2565.000"
"Emily","Bread",11,NULL,"2565.000","2071.000"
"Emily","Bread",12,"2565.000","2071.000",NULL
"Emily","Butter",1,NULL,NULL,"1490.250"
"Emily","Butter",2,NULL,"1490.250",NULL
"Emily","Butter",3,"1490.250",NULL,NULL
"Emily","Butter",4,NULL,NULL,NULL
"Emily","Butter",5,NULL,NULL,"2869.000"
"Emily","Butter",6,NULL,"2869.000","3924.000"
"Emily","Butter",7,"2869.000","3924.000","1312.000"
"Emily","Butter",8,"3924.000","1312.000",NULL
"Emily","Butter",9,"1312.000",NULL,NULL
"Emily","Butter",10,NULL,NULL,"2862.000"
"Emily","Butter",11,NULL,"2862.000",NULL
"Emily","Butter",12,"2862.000",NULL,NULL
"Emily","Coke",1,NULL,"2192.000","2449.500"
"Emily","Coke",2,"2192.000","2449.500",NULL
"Emily","Coke",3,"2449.500",NULL,NULL
"Emily","Coke",4,NULL,NULL,NULL
"Emily","Coke",5,NULL,NULL,"3314.000"
"Emily","Coke",6,NULL,"3314.000",NULL
"Emily","Coke",7,"3314.000",NULL,"4379.000"
"Emily","Coke",8,NULL,"4379.000",NULL
"Emily","Coke",9,"4379.000",NULL,NULL
"Emily","Coke",10,NULL,NULL,"999.000"
"Emily","Coke",11,NULL,"999.000",NULL
"Emily","Coke",12,"999.000",NULL,NULL
"Emily","Cookies",1,NULL,"3446.000","2500.000"
"Emily","Cookies",2,"3446.000","2500.000",NULL
"Emily","Cookies",3,"2500.000",NULL,"3669.000"
"Emily","Cookies",4,NULL,"3669.000","2685.000"
"Emily","Cookies",5,"3669.000","2685.000","4925.000"
"Emily","Cookies",6,"2685.000","4925.000","1716.000"
"Emily","Cookies",7,"4925.000","1716.000",NULL
"Emily","Cookies",8,"1716.000",NULL,NULL
"Emily","Cookies",9,NULL,NULL,"1157.000"
"Emily","Cookies",10,NULL,"1157.000","2129.667"
"Emily","Cookies",11,"1157.000","2129.667","4121.500"
"Emily","Cookies",12,"2129.667","4121.500",NULL
"Emily","Eggs",1,NULL,"4535.000",NULL
"Emily","Eggs",2,"4535.000",NULL,NULL
"Emily","Eggs",3,NULL,NULL,"2714.500"
"Emily","Eggs",4,NULL,"2714.500",NULL
"Emily","Eggs",5,"2714.500",NULL,NULL
"Emily","Eggs",6,NULL,NULL,"2521.000"
"Emily","Eggs",7,NULL,"2521.000","4754.000"
"Emily","Eggs",8,"2521.000","4754.000","3126.000"
"Emily","Eggs",9,"4754.000","3126.000","4689.000"
"Emily","Eggs",10,"3126.000","4689.000","1303.333"
"Emily","Eggs",11,"4689.000","1303.333","1595.000"
"Emily","Eggs",12,"1303.333","1595.000",NULL
"Emily","Fruits",1,NULL,"4369.000",NULL
"Emily","Fruits",2,"4369.000",NULL,"1469.000"
"Emily","Fruits",3,NULL,"1469.000","2243.333"
"Emily","Fruits",4,"1469.000","2243.333",NULL
"Emily","Fruits",5,"2243.333",NULL,NULL
"Emily","Fruits",6,NULL,NULL,"1177.000"
"Emily","Fruits",7,NULL,"1177.000","4322.000"
"Emily","Fruits",8,"1177.000","4322.000",NULL
"Emily","Fruits",9,"4322.000",NULL,"3027.000"
"Emily","Fruits",10,NULL,"3027.000","2301.000"
"Emily","Fruits",11,"3027.000","2301.000","3864.000"
"Emily","Fruits",12,"2301.000","3864.000",NULL
"Emily","Milk",1,NULL,NULL,NULL
"Emily","Milk",2,NULL,NULL,"2589.000"
"Emily","Milk",3,NULL,"2589.000","3234.000"
"Emily","Milk",4,"2589.000","3234.000",NULL
"Emily","Milk",5,"3234.000",NULL,"1274.000"
"Emily","Milk",6,NULL,"1274.000","1075.500"
"Emily","Milk",7,"1274.000","1075.500",NULL
"Emily","Milk",8,"1075.500",NULL,"3839.000"
"Emily","Milk",9,NULL,"3839.000",NULL
"Emily","Milk",10,"3839.000",NULL,"4986.000"
"Emily","Milk",11,NULL,"4986.000",NULL
"Emily","Milk",12,"4986.000",NULL,NULL
"Emily","Pepsi",1,NULL,"3497.500",NULL
"Emily","Pepsi",2,"3497.500",NULL,"4531.000"
"Emily","Pepsi",3,NULL,"4531.000",NULL
"Emily","Pepsi",4,"4531.000",NULL,"3291.500"
"Emily","Pepsi",5,NULL,"3291.500","538.000"
"Emily","Pepsi",6,"3291.500","538.000",NULL
"Emily","Pepsi",7,"538.000",NULL,NULL
"Emily","Pepsi",8,NULL,NULL,NULL
"Emily","Pepsi",9,NULL,NULL,"4135.000"
"Emily","Pepsi",10,NULL,"4135.000",NULL
"Emily","Pepsi",11,"4135.000",NULL,NULL
"Emily","Pepsi",12,NULL,NULL,NULL
"Emily","Soap",1,NULL,"3218.000",NULL
"Emily","Soap",2,"3218.000",NULL,NULL
"Emily","Soap",3,NULL,NULL,"2549.000"
"Emily","Soap",4,NULL,"2549.000",NULL
"Emily","Soap",5,"2549.000",NULL,NULL
"Emily","Soap",6,NULL,NULL,"623.000"
"Emily","Soap",7,NULL,"623.000","3901.000"
"Emily","Soap",8,"623.000","3901.000","70.000"
"Emily","Soap",9,"3901.000","70.000","2411.500"
"Emily","Soap",10,"70.000","2411.500","4106.000"
"Emily","Soap",11,"2411.500","4106.000",NULL
"Emily","Soap",12,"4106.000",NULL,NULL
"Emily","Yogurt",1,NULL,NULL,NULL
"Emily","Yogurt",2,NULL,NULL,"3079.000"
"Emily","Yogurt",3,NULL,"3079.000",NULL
"Emily","Yogurt",4,"3079.000",NULL,"2126.000"
"Emily","Yogurt",5,NULL,"2126.000","3174.000"
"Emily","Yogurt",6,"2126.000","3174.000",NULL
"Emily","Yogurt",7,"3174.000",NULL,"2161.000"
"Emily","Yogurt",8,NULL,"2161.000",NULL
"Emily","Yogurt",9,"2161.000",NULL,"730.000"
"Emily","Yogurt",10,NULL,"730.000",NULL
"Emily","Yogurt",11,"730.000",NULL,NULL
"Emily","Yogurt",12,NULL,NULL,NULL
"Helen","Bread",1,NULL,"3530.000",NULL
"Helen","Bread",2,"3530.000",NULL,NULL
"Helen","Bread",3,NULL,NULL,NULL
"Helen","Bread",4,NULL,NULL,"2232.000"
"Helen","Bread",5,NULL,"2232.000","3271.000"
"Helen","Bread",6,"2232.000","3271.000",NULL
"Helen","Bread",7,"3271.000",NULL,NULL
"Helen","Bread",8,NULL,NULL,NULL
"Helen","Bread",9,NULL,NULL,"2513.000"
"Helen","Bread",10,NULL,"2513.000","1637.000"
"Helen","Bread",11,"2513.000","1637.000","4114.000"
"Helen","Bread",12,"1637.000","4114.000",NULL
"Helen","Butter",1,NULL,"2504.500","1904.400"
"Helen","Butter",2,"2504.500","1904.400","1786.000"
"Helen","Butter",3,"1904.400","1786.000","1845.000"
"Helen","Butter",4,"1786.000","1845.000",NULL
"Helen","Butter",5,"1845.000",NULL,"4969.000"
"Helen","Butter",6,NULL,"4969.000","2485.000"
"Helen","Butter",7,"4969.000","2485.000","163.000"
"Helen","Butter",8,"2485.000","163.000","803.000"
"Helen","Butter",9,"163.000","803.000",NULL
"Helen","Butter",10,"803.000",NULL,"906.500"
"Helen","Butter",11,NULL,"906.500",NULL
"Helen","Butter",12,"906.500",NULL,NULL
"Helen","Coke",1,NULL,NULL,"2708.000"
"Helen","Coke",2,NULL,"2708.000",NULL
"Helen","Coke",3,"2708.000",NULL,"1499.500"
"Helen","Coke",4,NULL,"1499.500","2332.667"
"Helen","Coke",5,"1499.500","2332.667",NULL
"Helen","Coke",6,"2332.667",NULL,"2799.500"
"Helen","Coke",7,NULL,"2799.500",NULL
"Helen","Coke",8,"2799.500",NULL,NULL
"Helen","Coke",9,NULL,NULL,"3189.000"
"Helen","Coke",10,NULL,"3189.000",NULL
"Helen","Coke",11,"3189.000",NULL,"2988.000"
"Helen","Coke",12,NULL,"2988.000",NULL
"Helen","Cookies",1,NULL,NULL,NULL
"Helen","Cookies",2,NULL,NULL,NULL
"Helen","Cookies",3,NULL,NULL,NULL
"Helen","Cookies",4,NULL,NULL,NULL
"Helen","Cookies",5,NULL,NULL,NULL
"Helen","Cookies",6,NULL,NULL,"1522.500"
"Helen","Cookies",7,NULL,"1522.500","3494.000"
"Helen","Cookies",8,"1522.500","3494.000",NULL
"Helen","Cookies",9,"3494.000",NULL,NULL
"Helen","Cookies",10,NULL,NULL,"1164.000"
"Helen","Cookies",11,NULL,"1164.000","1194.000"
"Helen","Cookies",12,"1164.000","1194.000",NULL
"Helen","Eggs",1,NULL,NULL,"813.000"
"Helen","Eggs",2,NULL,"813.000",NULL
"Helen","Eggs",3,"813.000",NULL,"1807.000"
"Helen","Eggs",4,NULL,"1807.000","1483.000"
"Helen","Eggs",5,"1807.000","1483.000","3008.500"
"Helen","Eggs",6,"1483.000","3008.500",NULL
"Helen","Eggs",7,"3008.500",NULL,NULL
"Helen","Eggs",8,NULL,NULL,NULL
"Helen","Eggs",9,NULL,NULL,"2320.333"
"Helen","Eggs",10,NULL,"2320.333",NULL
"Helen","Eggs",11,"2320.333",NULL,NULL
"Helen","Eggs",12,NULL,NULL,NULL
"Helen","Fruits",1,NULL,"2360.000","696.500"
"Helen","Fruits",2,"2360.000","696.500","2525.000"
"Helen","Fruits",3,"696.500","2525.000",NULL
"Helen","Fruits",4,"2525.000",NULL,"2774.000"
"Helen","Fruits",5,NULL,"2774.000","1613.000"
"Helen","Fruits",6,"2774.000","1613.000",NULL
"Helen","Fruits",7,"1613.000",NULL,NULL
"Helen","Fruits",8,NULL,NULL,NULL
"Helen","Fruits",9,NULL,NULL,NULL
"Helen","Fruits",10,NULL,NULL,NULL
"Helen","Fruits",11,NULL,NULL,"2141.500"
"Helen","Fruits",12,NULL,"2141.500",NULL
"Helen","Milk",1,NULL,"3134.000","4521.500"
"Helen","Milk",2,"3134.000","4521.500","1249.000"
"Helen","Milk",3,"4521.500","1249.000","482.500"
"Helen","Milk",4,"1249.000","482.500","1457.000"
"Helen","Milk",5,"482.500","1457.000",NULL
"Helen","Milk",6,"1457.000",NULL,NULL
"Helen","Milk",7,NULL,NULL,NULL
"Helen","Milk",8,NULL,NULL,"3314.000"
"Helen","Milk",9,NULL,"3314.000",NULL
"Helen","Milk",10,"3314.000",NULL,"1316.000"
"Helen","Milk",11,NULL,"1316.000","311.000"
"Helen","Milk",12,"1316.000","311.000",NULL
"Helen","Pepsi",1,NULL,"3322.000","1983.000"
"Helen","Pepsi",2,"3322.000","1983.000","3891.000"
"Helen","Pepsi",3,"1983.000","3891.000","2770.000"
"Helen","Pepsi",4,"3891.000","2770.000","2590.000"
"Helen","Pepsi",5,"2770.000","2590.000","1456.000"
"Helen","Pepsi",6,"2590.000","1456.000",NULL
"Helen","Pepsi",7,"1456.000",NULL,NULL
"Helen","Pepsi",8,NULL,NULL,"2768.000"
"Helen","Pepsi",9,NULL,"2768.000","2612.000"
"Helen","Pepsi",10,"2768.000","2612.000",NULL
"Helen","Pepsi",11,"2612.000",NULL,"2258.500"
"Helen","Pepsi",12,NULL,"2258.500",NULL
"Helen","Soap",1,NULL,"4702.000",NULL
"Helen","Soap",2,"4702.000",NULL,"2203.000"
"Helen","Soap",3,NULL,"2203.000",NULL
"Helen","Soap",4,"2203.000",NULL,NULL
"Helen","Soap",5,NULL,NULL,NULL
"Helen","Soap",6,NULL,NULL,"4107.000"
"Helen","Soap",7,NULL,"4107.000","2459.500"
"Helen","Soap",8,"4107.000","2459.500","2934.000"
"Helen","Soap",9,"2459.500","2934.000","712.000"
"Helen","Soap",10,"2934.000","712.000","1458.000"
"Helen","Soap",11,"712.000","1458.000",NULL
"Helen","Soap",12,"1458.000",NULL,NULL
"Helen","Yogurt",1,NULL,"2096.000","2450.500"
"Helen","Yogurt",2,"2096.000","2450.500",NULL
"Helen","Yogurt",3,"2450.500",NULL,"2516.000"
"Helen","Yogurt",4,NULL,"2516.000",NULL
"Helen","Yogurt",5,"2516.000",NULL,"3832.000"
"Helen","Yogurt",6,NULL,"3832.000",NULL
"Helen","Yogurt",7,"3832.000",NULL,"2848.000"
"Helen","Yogurt",8,NULL,"2848.000","3015.000"
"Helen","Yogurt",9,"2848.000","3015.000","3366.000"
"Helen","Yogurt",10,"3015.000","3366.000",NULL
"Helen","Yogurt",11,"3366.000",NULL,"1128.000"
"Helen","Yogurt",12,NULL,"1128.000",NULL
"Knuth","Bread",1,NULL,"3049.000","3020.500"
"Knuth","Bread",2,"3049.000","3020.500","4372.000"
"Knuth","Bread",3,"3020.500","4372.000","3370.000"
"Knuth","Bread",4,"4372.000","3370.000","3915.500"
"Knuth","Bread",5,"3370.000","3915.500","1932.000"
"Knuth","Bread",6,"3915.500","1932.000",NULL
"Knuth","Bread",7,"1932.000",NULL,"1579.000"
"Knuth","Bread",8,NULL,"1579.000",NULL
"Knuth","Bread",9,"1579.000",NULL,"1796.000"
"Knuth","Bread",10,NULL,"1796.000","1013.000"
"Knuth","Bread",11,"1796.000","1013.000",NULL
"Knuth","Bread",12,"1013.000",NULL,NULL
"Knuth","Butter",1,NULL,NULL,NULL
"Knuth","Butter",2,NULL,NULL,"1374.000"
"Knuth","Butter",3,NULL,"1374.000","839.000"
"Knuth","Butter",4,"1374.000","839.000",NULL
"Knuth","Butter",5,"839.000",NULL,"950.000"
"Knuth","Butter",6,NULL,"950.000",NULL
"Knuth","Butter",7,"950.000",NULL,NULL
"Knuth","Butter",8,NULL,NULL,NULL
"Knuth","Butter",9,NULL,NULL,"1504.000"
"Knuth","Butter",10,NULL,"1504.000",NULL
"Knuth","Butter",11,"1504.000",NULL,NULL
"Knuth","Butter",12,NULL,NULL,NULL
"Knuth","Coke",1,NULL,"2960.500","4757.000"
"Knuth","Coke",2,"2960.500","4757.000",NULL
"Knuth","Coke",3,"4757.000",NULL,"4027.000"
"Knuth","Coke",4,NULL,"4027.000","1764.500"
"Knuth","Coke",5,"4027.000","1764.500","2913.000"
"Knuth","Coke",6,"1764.500","2913.000","211.000"
"Knuth","Coke",7,"2913.000","211.000","2812.000"
"Knuth","Coke",8,"211.000","2812.000",NULL
"Knuth","Coke",9,"2812.000",NULL,"2719.000"
"Knuth","Coke",10,NULL,"2719.000",NULL
"Knuth","Coke",11,"2719.000",NULL,"2928.000"
"Knuth","Coke",12,NULL,"2928.000",NULL
"Knuth","Cookies",1,NULL,NULL,"4237.000"
"Knuth","Cookies",2,NULL,"4237.000","488.000"
"Knuth","Cookies",3,"4237.000","488.000",NULL
"Knuth","Cookies",4,"488.000",NULL,NULL
"Knuth","Cookies",5,NULL,NULL,"2977.667"
"Knuth","Cookies",6,NULL,"2977.667","3708.500"
"Knuth","Cookies",7,"2977.667","3708.500",NULL
"Knuth","Cookies",8,"3708.500",NULL,NULL
"Knuth","Cookies",9,NULL,NULL,"1760.500"
"Knuth","Cookies",10,NULL,"1760.500",NULL
"Knuth","Cookies",11,"1760.500",NULL,"1485.000"
"Knuth","Cookies",12,NULL,"1485.000",NULL
"Knuth","Eggs",1,NULL,NULL,"4050.500"
"Knuth","Eggs",2,NULL,"4050.500",NULL
"Knuth","Eggs",3,"4050.500",NULL,"1238.500"
"Knuth","Eggs",4,NULL,"1238.500",NULL
"Knuth","Eggs",5,"1238.500",NULL,NULL
"Knuth","Eggs",6,NULL,NULL,NULL
"Knuth","Eggs",7,NULL,NULL,NULL
"Knuth","Eggs",8,NULL,NULL,"3532.000"
"Knuth","Eggs",9,NULL,"3532.000","2353.000"
"Knuth","Eggs",10,"3532.000","2353.000","3133.500"
"Knuth","Eggs",11,"2353.000","3133.500","1325.500"
"Knuth","Eggs",12,"3133.500","1325.500",NULL
"Knuth","Fruits",1,NULL,"1368.000","3452.500"
"Knuth","Fruits",2,"1368.000","3452.500",NULL
"Knuth","Fruits",3,"3452.500",NULL,"1856.500"
"Knuth","Fruits",4,NULL,"1856.500",NULL
"Knuth","Fruits",5,"1856.500",NULL,NULL
"Knuth","Fruits",6,NULL,NULL,"1850.333"
"Knuth","Fruits",7,NULL,"1850.333","24.000"
"Knuth","Fruits",8,"1850.333","24.000","736.000"
"Knuth","Fruits",9,"24.000","736.000","1181.000"
"Knuth","Fruits",10,"736.000","1181.000","1718.000"
"Knuth","Fruits",11,"1181.000","1718.000","3939.000"
"Knuth","Fruits",12,"1718.000","3939.000",NULL
"Knuth","Milk",1,NULL,NULL,"126.000"
"Knuth","Milk",2,NULL,"126.000","58.000"
"Knuth","Milk",3,"126.000","58.000","2424.000"
"Knuth","Milk",4,"58.000","2424.000",NULL
"Knuth","Milk",5,"2424.000",NULL,NULL
"Knuth","Milk",6,NULL,NULL,NULL
"Knuth","Milk",7,NULL,NULL,NULL
"Knuth","Milk",8,NULL,NULL,NULL
"Knuth","Milk",9,NULL,NULL,"1088.000"
"Knuth","Milk",10,NULL,"1088.000",NULL
"Knuth","Milk",11,"1088.000",NULL,NULL
"Knuth","Milk",12,NULL,NULL,NULL
"Knuth","Pepsi",1,NULL,NULL,"3879.000"
"Knuth","Pepsi",2,NULL,"3879.000","2548.000"
"Knuth","Pepsi",3,"3879.000","2548.000","1481.000"
"Knuth","Pepsi",4,"2548.000","1481.000",NULL
"Knuth","Pepsi",5,"1481.000",NULL,"2796.667"
"Knuth","Pepsi",6,NULL,"2796.667","4689.000"
"Knuth","Pepsi",7,"2796.667","4689.000","760.500"
"Knuth","Pepsi",8,"4689.000","760.500","4351.000"
"Knuth","Pepsi",9,"760.500","4351.000",NULL
"Knuth","Pepsi",10,"4351.000",NULL,NULL
"Knuth","Pepsi",11,NULL,NULL,"1595.500"
"Knuth","Pepsi",12,NULL,"1595.500",NULL
"Knuth","Soap",1,NULL,"1098.000","657.000"
"Knuth","Soap",2,"1098.000","657.000",NULL
"Knuth","Soap",3,"657.000",NULL,"798.000"
"Knuth","Soap",4,NULL,"798.000","2961.000"
"Knuth","Soap",5,"798.000","2961.000",NULL
"Knuth","Soap",6,"2961.000",NULL,NULL
"Knuth","Soap",7,NULL,NULL,"1002.000"
"Knuth","Soap",8,NULL,"1002.000",NULL
"Knuth","Soap",9,"1002.000",NULL,"2231.000"
"Knuth","Soap",10,NULL,"2231.000","2188.000"
"Knuth","Soap",11,"2231.000","2188.000","4307.000"
"Knuth","Soap",12,"2188.000","4307.000",NULL
"Knuth","Yogurt",1,NULL,NULL,"3445.000"
"Knuth","Yogurt",2,NULL,"3445.000","4361.000"
"Knuth","Yogurt",3,"3445.000","4361.000","301.000"
"Knuth","Yogurt",4,"4361.000","301.000","3396.000"
"Knuth","Yogurt",5,"301.000","3396.000","1726.000"
"Knuth","Yogurt",6,"3396.000","1726.000",NULL
"Knuth","Yogurt",7,"1726.000",NULL,NULL
"Knuth","Yogurt",8,NULL,NULL,"3705.000"
"Knuth","Yogurt",9,NULL,"3705.000","2497.000"
"Knuth","Yogurt",10,"3705.000","2497.000",NULL
"Knuth","Yogurt",11,"2497.000",NULL,NULL
"Knuth","Yogurt",12,NULL,NULL,NULL
"Sam","Bread",1,NULL,"1378.000",NULL
"Sam","Bread",2,"1378.000",NULL,NULL
"Sam","Bread",3,NULL,NULL,"2282.000"
"Sam","Bread",4,NULL,"2282.000",NULL
"Sam","Bread",5,"2282.000",NULL,"3187.000"
"Sam","Bread",6,NULL,"3187.000","539.500"
"Sam","Bread",7,"3187.000","539.500","1599.000"
"Sam","Bread",8,"539.500","1599.000","3809.000"
"Sam","Bread",9,"1599.000","3809.000",NULL
"Sam","Bread",10,"3809.000",NULL,"93.000"
"Sam","Bread",11,NULL,"93.000",NULL
"Sam","Bread",12,"93.000",NULL,NULL
"Sam","Butter",1,NULL,NULL,"673.000"
"Sam","Butter",2,NULL,"673.000",NULL
"Sam","Butter",3,"673.000",NULL,"4453.000"
"Sam","Butter",4,NULL,"4453.000",NULL
"Sam","Butter",5,"4453.000",NULL,"3659.000"
"Sam","Butter",6,NULL,"3659.000",NULL
"Sam","Butter",7,"3659.000",NULL,NULL
"Sam","Butter",8,NULL,NULL,"4893.000"
"Sam","Butter",9,NULL,"4893.000","1966.000"
"Sam","Butter",10,"4893.000","1966.000",NULL
"Sam","Butter",11,"1966.000",NULL,"1989.333"
"Sam","Butter",12,NULL,"1989.333",NULL
"Sam","Coke",1,NULL,"2670.000",NULL
"Sam","Coke",2,"2670.000",NULL,NULL
"Sam","Coke",3,NULL,NULL,NULL
"Sam","Coke",4,NULL,NULL,"2819.000"
"Sam","Coke",5,NULL,"2819.000","142.000"
"Sam","Coke",6,"2819.000","142.000",NULL
"Sam","Coke",7,"142.000",NULL,"3053.000"
"Sam","Coke",8,NULL,"3053.000",NULL
"Sam","Coke",9,"3053.000",NULL,NULL
"Sam","Coke",10,NULL,NULL,NULL
"Sam","Coke",11,NULL,NULL,NULL
"Sam","Coke",12,NULL,NULL,NULL
"Sam","Cookies",1,NULL,NULL,"2523.000"
"Sam","Cookies",2,NULL,"2523.000",NULL
